"Population by disability type","Number"
"Blind/low vision",""
"Female","49"
"Male","45"
"","94"
"Deaf/hard of hearing",""
"Female","26"
"Male","22"
"","48"
"Deaf-Blind",""
"Female","5"
"Male","1"
"","6"
"Intellectual disable",""
"Female","8"
"Male","9"
"","17"
"Mental disable",""
"Female","16"
"Male","14"
"","30"
"Multiple disable",""
"Female","15"
"Male","32"
"","47"
"No disability",""
"Female","17696"
"Male","16653"
"","34349"
"Physical",""
"Female","78"
"Male","119"
"","197"
"Speech problem",""
"Female","28"
"Male","36"
"","64"
