"Population by disability type","Number"
"Blind/low vision",""
"Female","28"
"Male","40"
"","68"
"Deaf/hard of hearing",""
"Female","23"
"Male","23"
"","46"
"Deaf-Blind",""
"Female","1"
"Male","4"
"","5"
"Intellectual disable",""
"Female","9"
"Male","5"
"","14"
"Mental disable",""
"Female","4"
"Male","9"
"","13"
"Multiple disable",""
"Female","27"
"Male","21"
"","48"
"No disability",""
"Female","9180"
"Male","8743"
"","17923"
"Physical",""
"Female","51"
"Male","67"
"","118"
"Speech problem",""
"Female","19"
"Male","29"
"","48"
