"Population by disability type","Number"
"Blind/low vision",""
"Female","66"
"Male","51"
"","117"
"Deaf/hard of hearing",""
"Female","46"
"Male","65"
"","111"
"Deaf-Blind",""
"Female","19"
"Male","16"
"","35"
"Intellectual disable",""
"Female","13"
"Male","11"
"","24"
"Mental disable",""
"Female","11"
"Male","17"
"","28"
"Multiple disable",""
"Female","32"
"Male","31"
"","63"
"No disability",""
"Female","15200"
"Male","13589"
"","28789"
"Physical",""
"Female","98"
"Male","142"
"","240"
"Speech problem",""
"Female","54"
"Male","71"
"","125"
