"Population by disability type","Number"
"Blind/low vision",""
"Female","263"
"Male","243"
"","506"
"Deaf/hard of hearing",""
"Female","212"
"Male","216"
"","428"
"Deaf-Blind",""
"Female","26"
"Male","25"
"","51"
"Intellectual disable",""
"Female","21"
"Male","44"
"","65"
"Mental disable",""
"Female","51"
"Male","66"
"","117"
"Multiple disable",""
"Female","89"
"Male","97"
"","186"
"No disability",""
"Female","73707"
"Male","65384"
"","139091"
"Physical",""
"Female","349"
"Male","439"
"","788"
"Speech problem",""
"Female","135"
"Male","161"
"","296"
