"Population by disability type","Number"
"Blind/low vision",""
"Female","23"
"Male","23"
"","46"
"Deaf/hard of hearing",""
"Female","18"
"Male","24"
"","42"
"Deaf-Blind",""
"Female","1"
"Male","2"
"","3"
"Intellectual disable",""
"Female","3"
"Male","7"
"","10"
"Mental disable",""
"Female","9"
"Male","8"
"","17"
"Multiple disable",""
"Female","5"
"Male","6"
"","11"
"No disability",""
"Female","6002"
"Male","5298"
"","11300"
"Physical",""
"Female","55"
"Male","74"
"","129"
"Speech problem",""
"Female","15"
"Male","21"
"","36"
