"Population by Single Year of Age","Number"
"0",""
"Female","196"
"Male","198"
"1",""
"Female","168"
"Male","182"
"10",""
"Female","299"
"Male","300"
"11",""
"Female","295"
"Male","242"
"12",""
"Female","318"
"Male","343"
"13",""
"Female","345"
"Male","324"
"14",""
"Female","352"
"Male","334"
"15",""
"Female","360"
"Male","283"
"16",""
"Female","382"
"Male","307"
"17",""
"Female","348"
"Male","262"
"18",""
"Female","359"
"Male","269"
"19",""
"Female","233"
"Male","125"
"2",""
"Female","139"
"Male","190"
"20",""
"Female","275"
"Male","123"
"21",""
"Female","232"
"Male","114"
"22",""
"Female","260"
"Male","103"
"23",""
"Female","186"
"Male","85"
"24",""
"Female","178"
"Male","80"
"25",""
"Female","274"
"Male","110"
"26",""
"Female","194"
"Male","98"
"27",""
"Female","156"
"Male","75"
"28",""
"Female","213"
"Male","96"
"29",""
"Female","100"
"Male","53"
"3",""
"Female","196"
"Male","198"
"30",""
"Female","320"
"Male","123"
"31",""
"Female","99"
"Male","50"
"32",""
"Female","173"
"Male","83"
"33",""
"Female","95"
"Male","58"
"34",""
"Female","93"
"Male","57"
"35",""
"Female","286"
"Male","138"
"36",""
"Female","137"
"Male","73"
"37",""
"Female","79"
"Male","60"
"38",""
"Female","132"
"Male","79"
"39",""
"Female","96"
"Male","63"
"4",""
"Female","220"
"Male","207"
"40",""
"Female","326"
"Male","180"
"41",""
"Female","84"
"Male","55"
"42",""
"Female","159"
"Male","99"
"43",""
"Female","111"
"Male","72"
"44",""
"Female","88"
"Male","62"
"45",""
"Female","249"
"Male","184"
"46",""
"Female","104"
"Male","72"
"47",""
"Female","83"
"Male","70"
"48",""
"Female","137"
"Male","120"
"49",""
"Female","90"
"Male","62"
"5",""
"Female","237"
"Male","208"
"50",""
"Female","265"
"Male","217"
"51",""
"Female","71"
"Male","64"
"52",""
"Female","131"
"Male","131"
"53",""
"Female","76"
"Male","87"
"54",""
"Female","63"
"Male","74"
"55",""
"Female","174"
"Male","156"
"56",""
"Female","71"
"Male","73"
"57",""
"Female","92"
"Male","78"
"58",""
"Female","109"
"Male","105"
"59",""
"Female","54"
"Male","61"
"6",""
"Female","211"
"Male","234"
"60",""
"Female","201"
"Male","169"
"61",""
"Female","66"
"Male","49"
"62",""
"Female","77"
"Male","77"
"63",""
"Female","54"
"Male","69"
"64",""
"Female","47"
"Male","43"
"65",""
"Female","140"
"Male","108"
"66",""
"Female","56"
"Male","57"
"67",""
"Female","72"
"Male","68"
"68",""
"Female","66"
"Male","90"
"69",""
"Female","22"
"Male","36"
"7",""
"Female","230"
"Male","281"
"70",""
"Female","148"
"Male","94"
"71",""
"Female","15"
"Male","31"
"72",""
"Female","37"
"Male","34"
"73",""
"Female","28"
"Male","36"
"74",""
"Female","20"
"Male","27"
"75",""
"Female","84"
"Male","60"
"76",""
"Female","28"
"Male","31"
"77",""
"Female","33"
"Male","32"
"78",""
"Female","44"
"Male","60"
"79",""
"Female","16"
"Male","16"
"8",""
"Female","230"
"Male","264"
"80",""
"Female","49"
"Male","27"
"81",""
"Female","6"
"Male","16"
"82",""
"Female","21"
"Male","11"
"83",""
"Female","13"
"Male","14"
"84",""
"Female","12"
"Male","11"
"85",""
"Female","99"
"Male","84"
"9",""
"Female","223"
"Male","238"
