"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1696"
"Male","1330"
"Brahman - Tarai",""
"Female","9"
"Male","10"
"Chhetri",""
"Female","3505"
"Male","2574"
"Damai/Dholi",""
"Female","463"
"Male","369"
"Darai",""
"Female","439"
"Male","368"
"Ghale",""
"Female","103"
"Male","80"
"Gurung",""
"Female","255"
"Male","204"
"Kami",""
"Female","540"
"Male","429"
"Kumal",""
"Female","1237"
"Male","1022"
"Magar",""
"Female","1580"
"Male","1226"
"Majhi",""
"Female","16"
"Male","20"
"Musalman",""
"Female","31"
"Male","32"
"Newar",""
"Female","1250"
"Male","1028"
"Others",""
"Female","17"
"Male","22"
"Rai",""
"Female","8"
"Male","7"
"Sanyasi/Dasnami",""
"Female","395"
"Male","316"
"Sarki",""
"Female","853"
"Male","585"
"Tamang",""
"Female","192"
"Male","145"
"Terai Others",""
"Female","6"
"Male","5"
"Thakuri",""
"Female","305"
"Male","265"
"Tharu",""
"Female","5"
"Male","6"
"Undefined Others",""
"Female","5"
"Male","7"
