"Population by Educational Attainment","Number"
"Beginners",""
"Female","286"
"Male","263"
"","549"
"Graduate and Equivalent",""
"Female","7"
"Male","28"
"","35"
"Intermediate and Equivalent",""
"Female","111"
"Male","125"
"","236"
"Level not Stated",""
"Female","37"
"Male","60"
"","97"
"Lower Secondary (Class 6-8)",""
"Female","807"
"Male","868"
"","1675"
"Non Formal Education",""
"Female","298"
"Male","238"
"","536"
"Others",""
"Female","2"
"Male","2"
"","4"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","10"
"","10"
"Primary Education (1-5 Class)",""
"Female","2012"
"Male","2245"
"","4257"
"Secondary Level (Class 9-10)",""
"Female","286"
"Male","437"
"","723"
"SLC and Equivalent",""
"Female","280"
"Male","401"
"","681"
