"Population by disability type","Number"
"Blind/low vision",""
"Female","30"
"Male","29"
"","59"
"Deaf/hard of hearing",""
"Female","53"
"Male","53"
"","106"
"Deaf-Blind",""
"Female","4"
"Male","3"
"","7"
"Intellectual disable",""
"Female","2"
"Male","6"
"","8"
"Mental disable",""
"Female","9"
"Male","6"
"","15"
"Multiple disable",""
"Female","18"
"Male","13"
"","31"
"No disability",""
"Female","7300"
"Male","6575"
"","13875"
"Physical",""
"Female","63"
"Male","102"
"","165"
"Speech problem",""
"Female","39"
"Male","44"
"","83"
