"Population by Mother tongue","Number"
"Bahing",""
"Female","28"
"Male","17"
"","45"
"Belhare",""
"Female","39"
"Male","29"
"","68"
"Chamling",""
"Female","26"
"Male","25"
"","51"
"Gurung",""
"Female","22"
"Male","22"
"","44"
"Khaling",""
"Female","150"
"Male","148"
"","298"
"Kulung",""
"Female","50"
"Male","45"
"","95"
"Lhomi",""
"Female","297"
"Male","273"
"","570"
"Nepali",""
"Female","340"
"Male","346"
"","686"
"Newar",""
"Female","13"
"Male","13"
"","26"
"Not Reported",""
"Female","12"
"Male","9"
"","21"
"Others",""
"Female","15"
"Male","24"
"","39"
"Rai",""
"Female","63"
"Male","68"
"","131"
"Sherpa",""
"Female","1900"
"Male","1767"
"","3667"
"Tamang",""
"Female","303"
"Male","313"
"","616"
"Thulung",""
"Female","15"
"Male","20"
"","35"
"Yamphu/Yamphe",""
"Female","99"
"Male","85"
"","184"
