"Population by Educational Attainment","Number"
"Beginners",""
"Female","112"
"Male","103"
"","215"
"Graduate and Equivalent",""
"Female","4"
"Male","20"
"","24"
"Intermediate and Equivalent",""
"Female","14"
"Male","53"
"","67"
"Level not Stated",""
"Female","12"
"Male","10"
"","22"
"Lower Secondary (Class 6-8)",""
"Female","144"
"Male","272"
"","416"
"Non Formal Education",""
"Female","57"
"Male","81"
"","138"
"Others",""
"Female","0"
"Male","13"
"","13"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","1"
"","1"
"Primary Education (1-5 Class)",""
"Female","852"
"Male","937"
"","1789"
"Secondary Level (Class 9-10)",""
"Female","68"
"Male","173"
"","241"
"SLC and Equivalent",""
"Female","50"
"Male","114"
"","164"
