"Population by disability type","Number"
"Blind/low vision",""
"Female","18"
"Male","14"
"","32"
"Deaf/hard of hearing",""
"Female","15"
"Male","20"
"","35"
"Deaf-Blind",""
"Female","4"
"Male","3"
"","7"
"Intellectual disable",""
"Female","1"
"Male","1"
"","2"
"Mental disable",""
"Female","6"
"Male","4"
"","10"
"Multiple disable",""
"Female","11"
"Male","12"
"","23"
"No disability",""
"Female","3277"
"Male","3105"
"","6382"
"Physical",""
"Female","26"
"Male","33"
"","59"
"Speech problem",""
"Female","14"
"Male","12"
"","26"
