"Population by disability type","Number"
"Blind/low vision",""
"Female","39"
"Male","58"
"","97"
"Deaf/hard of hearing",""
"Female","23"
"Male","57"
"","80"
"Deaf-Blind",""
"Female","2"
"Male","6"
"","8"
"Intellectual disable",""
"Female","5"
"Male","1"
"","6"
"Mental disable",""
"Female","13"
"Male","17"
"","30"
"Multiple disable",""
"Female","26"
"Male","28"
"","54"
"No disability",""
"Female","9239"
"Male","8717"
"","17956"
"Physical",""
"Female","77"
"Male","124"
"","201"
"Speech problem",""
"Female","30"
"Male","41"
"","71"
