"Population by disability type","Number"
"Blind/low vision",""
"Female","41"
"Male","38"
"","79"
"Deaf/hard of hearing",""
"Female","33"
"Male","30"
"","63"
"Deaf-Blind",""
"Female","3"
"Male","4"
"","7"
"Intellectual disable",""
"Female","3"
"Male","9"
"","12"
"Mental disable",""
"Female","17"
"Male","11"
"","28"
"Multiple disable",""
"Female","12"
"Male","21"
"","33"
"No disability",""
"Female","10878"
"Male","7978"
"","18856"
"Physical",""
"Female","71"
"Male","92"
"","163"
"Speech problem",""
"Female","35"
"Male","42"
"","77"
