"Population by disability type","Number"
"Blind/low vision",""
"Female","31"
"Male","26"
"","57"
"Deaf/hard of hearing",""
"Female","22"
"Male","33"
"","55"
"Deaf-Blind",""
"Female","1"
"Male","5"
"","6"
"Intellectual disable",""
"Female","1"
"Male","6"
"","7"
"Mental disable",""
"Female","8"
"Male","8"
"","16"
"Multiple disable",""
"Female","21"
"Male","35"
"","56"
"No disability",""
"Female","7663"
"Male","7059"
"","14722"
"Physical",""
"Female","60"
"Male","81"
"","141"
"Speech problem",""
"Female","26"
"Male","20"
"","46"
