"Population by disability type","Number"
"Blind/low vision",""
"Female","50"
"Male","43"
"","93"
"Deaf/hard of hearing",""
"Female","49"
"Male","40"
"","89"
"Deaf-Blind",""
"Female","12"
"Male","14"
"","26"
"Intellectual disable",""
"Female","13"
"Male","19"
"","32"
"Mental disable",""
"Female","28"
"Male","33"
"","61"
"Multiple disable",""
"Female","9"
"Male","20"
"","29"
"No disability",""
"Female","19776"
"Male","17640"
"","37416"
"Physical",""
"Female","89"
"Male","103"
"","192"
"Speech problem",""
"Female","28"
"Male","31"
"","59"
