"Population by Mother tongue","Number"
"Avadhi",""
"Female","16"
"Male","18"
"","34"
"Bhojpuri",""
"Female","123"
"Male","228"
"","351"
"Bhujel",""
"Female","32"
"Male","23"
"","55"
"Bote",""
"Female","375"
"Male","296"
"","671"
"Doteli",""
"Female","8"
"Male","6"
"","14"
"English",""
"Female","10"
"Male","11"
"","21"
"Gurung",""
"Female","47"
"Male","42"
"","89"
"Hindi",""
"Female","92"
"Male","141"
"","233"
"Kham",""
"Female","15"
"Male","21"
"","36"
"Kumal",""
"Female","863"
"Male","767"
"","1630"
"Magar",""
"Female","49745"
"Male","39093"
"","88838"
"Maithili",""
"Female","30"
"Male","72"
"","102"
"Nepali",""
"Female","89995"
"Male","70358"
"","160353"
"Newar",""
"Female","2823"
"Male","2295"
"","5118"
"Not Reported",""
"Female","46"
"Male","40"
"","86"
"Others",""
"Female","163"
"Male","189"
"","352"
"Rai",""
"Female","15"
"Male","12"
"","27"
"Sign Language",""
"Female","43"
"Male","47"
"","90"
"Sunuwar",""
"Female","11"
"Male","10"
"","21"
"Tamang",""
"Female","9"
"Male","19"
"","28"
"Tharu",""
"Female","68"
"Male","129"
"","197"
"Urdu",""
"Female","301"
"Male","246"
"","547"
