"Population by disability type","Number"
"Blind/low vision",""
"Female","381"
"Male","398"
"","779"
"Deaf/hard of hearing",""
"Female","614"
"Male","600"
"","1214"
"Deaf-Blind",""
"Female","32"
"Male","40"
"","72"
"Intellectual disable",""
"Female","156"
"Male","186"
"","342"
"Mental disable",""
"Female","235"
"Male","205"
"","440"
"Multiple disable",""
"Female","171"
"Male","215"
"","386"
"No disability",""
"Female","141908"
"Male","110514"
"","252422"
"Physical",""
"Female","960"
"Male","1397"
"","2357"
"Speech problem",""
"Female","373"
"Male","508"
"","881"
