"Population by Educational Attainment","Number"
"Beginners",""
"Female","206"
"Male","238"
"Graduate and Equivalent",""
"Female","26"
"Male","86"
"Intermediate and Equivalent",""
"Female","75"
"Male","132"
"Level not Stated",""
"Female","9"
"Male","9"
"Lower Secondary (Class 6-8)",""
"Female","1326"
"Male","1281"
"Non Formal Education",""
"Female","470"
"Male","469"
"Others",""
"Female","8"
"Male","5"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","14"
"Primary Education (1-5 Class)",""
"Female","2313"
"Male","2588"
"Secondary Level (Class 9-10)",""
"Female","691"
"Male","742"
"SLC and Equivalent",""
"Female","633"
"Male","693"
