"Population by Educational Attainment","Number"
"Beginners",""
"Female","14"
"Male","11"
"","25"
"Graduate and Equivalent",""
"Female","4"
"Male","25"
"","29"
"Intermediate and Equivalent",""
"Female","9"
"Male","25"
"","34"
"Level not Stated",""
"Female","2"
"Male","3"
"","5"
"Lower Secondary (Class 6-8)",""
"Female","14"
"Male","21"
"","35"
"Non Formal Education",""
"Female","0"
"Male","5"
"","5"
"Others",""
"Female","1"
"Male","1"
"","2"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","1"
"","1"
"Primary Education (1-5 Class)",""
"Female","105"
"Male","132"
"","237"
"Secondary Level (Class 9-10)",""
"Female","4"
"Male","14"
"","18"
"SLC and Equivalent",""
"Female","6"
"Male","7"
"","13"
