"Population by disability type","Number"
"Blind/low vision",""
"Female","4"
"Male","0"
"","4"
"Deaf/hard of hearing",""
"Female","4"
"Male","1"
"","5"
"Deaf-Blind",""
"Female","0"
"Male","1"
"","1"
"Intellectual disable",""
"Female","0"
"Male","0"
"","0"
"Mental disable",""
"Female","1"
"Male","0"
"","1"
"Multiple disable",""
"Female","4"
"Male","1"
"","5"
"No disability",""
"Female","745"
"Male","673"
"","1418"
"Physical",""
"Female","6"
"Male","6"
"","12"
"Speech problem",""
"Female","3"
"Male","2"
"","5"
