"Population by disability type","Number"
"Blind/low vision",""
"Female","46"
"Male","31"
"","77"
"Deaf/hard of hearing",""
"Female","37"
"Male","60"
"","97"
"Deaf-Blind",""
"Female","6"
"Male","6"
"","12"
"Intellectual disable",""
"Female","11"
"Male","7"
"","18"
"Mental disable",""
"Female","19"
"Male","18"
"","37"
"Multiple disable",""
"Female","6"
"Male","6"
"","12"
"No disability",""
"Female","12480"
"Male","10304"
"","22784"
"Physical",""
"Female","58"
"Male","103"
"","161"
"Speech problem",""
"Female","31"
"Male","24"
"","55"
