"Population by Educational Attainment","Number"
"Beginners",""
"Female","382"
"Male","445"
"Graduate and Equivalent",""
"Female","25"
"Male","100"
"Intermediate and Equivalent",""
"Female","195"
"Male","338"
"Level not Stated",""
"Female","23"
"Male","22"
"Lower Secondary (Class 6-8)",""
"Female","1482"
"Male","1799"
"Non Formal Education",""
"Female","312"
"Male","237"
"Others",""
"Female","6"
"Male","7"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","17"
"Primary Education (1-5 Class)",""
"Female","3066"
"Male","3465"
"Secondary Level (Class 9-10)",""
"Female","645"
"Male","844"
"SLC and Equivalent",""
"Female","291"
"Male","525"
