"Population by Educational Attainment","Number"
"Beginners",""
"Female","992"
"Male","1142"
"","2134"
"Graduate and Equivalent",""
"Female","1440"
"Male","2209"
"","3649"
"Intermediate and Equivalent",""
"Female","3770"
"Male","4389"
"","8159"
"Level not Stated",""
"Female","185"
"Male","210"
"","395"
"Lower Secondary (Class 6-8)",""
"Female","5028"
"Male","6507"
"","11535"
"Non Formal Education",""
"Female","1501"
"Male","1262"
"","2763"
"Others",""
"Female","29"
"Male","36"
"","65"
"Post Graduate Equivalent and Above",""
"Female","389"
"Male","808"
"","1197"
"Primary Education (1-5 Class)",""
"Female","6644"
"Male","8146"
"","14790"
"Secondary Level (Class 9-10)",""
"Female","3698"
"Male","4689"
"","8387"
"SLC and Equivalent",""
"Female","4132"
"Male","5200"
"","9332"
