"Population by disability type","Number"
"Blind/low vision",""
"Female","48"
"Male","41"
"","89"
"Deaf/hard of hearing",""
"Female","55"
"Male","53"
"","108"
"Deaf-Blind",""
"Female","5"
"Male","9"
"","14"
"Intellectual disable",""
"Female","2"
"Male","8"
"","10"
"Mental disable",""
"Female","10"
"Male","21"
"","31"
"Multiple disable",""
"Female","21"
"Male","24"
"","45"
"No disability",""
"Female","12662"
"Male","10167"
"","22829"
"Physical",""
"Female","83"
"Male","99"
"","182"
"Speech problem",""
"Female","30"
"Male","47"
"","77"
