"Population by disability type","Number"
"Blind/low vision",""
"Female","24"
"Male","29"
"","53"
"Deaf/hard of hearing",""
"Female","8"
"Male","14"
"","22"
"Deaf-Blind",""
"Female","5"
"Male","1"
"","6"
"Intellectual disable",""
"Female","4"
"Male","11"
"","15"
"Mental disable",""
"Female","5"
"Male","10"
"","15"
"Multiple disable",""
"Female","5"
"Male","10"
"","15"
"No disability",""
"Female","11254"
"Male","12033"
"","23287"
"Physical",""
"Female","41"
"Male","68"
"","109"
"Speech problem",""
"Female","29"
"Male","17"
"","46"
