"Population by disability type","Number"
"Blind/low vision",""
"Female","96"
"Male","77"
"","173"
"Deaf/hard of hearing",""
"Female","50"
"Male","58"
"","108"
"Deaf-Blind",""
"Female","4"
"Male","8"
"","12"
"Intellectual disable",""
"Female","12"
"Male","14"
"","26"
"Mental disable",""
"Female","16"
"Male","26"
"","42"
"Multiple disable",""
"Female","42"
"Male","51"
"","93"
"No disability",""
"Female","16249"
"Male","14446"
"","30695"
"Physical",""
"Female","163"
"Male","199"
"","362"
"Speech problem",""
"Female","49"
"Male","46"
"","95"
