"Population by Mother tongue","Number"
"Bahing",""
"Female","23"
"Male","16"
"","39"
"Bantawa",""
"Female","366"
"Male","295"
"","661"
"Bhojpuri",""
"Female","56"
"Male","48"
"","104"
"Chamling",""
"Female","67"
"Male","55"
"","122"
"Dumi",""
"Female","12"
"Male","20"
"","32"
"Ghale",""
"Female","18"
"Male","14"
"","32"
"Gurung",""
"Female","101"
"Male","111"
"","212"
"Khaling",""
"Female","6"
"Male","5"
"","11"
"Koyee",""
"Female","30"
"Male","24"
"","54"
"Kulung",""
"Female","401"
"Male","356"
"","757"
"Limbu",""
"Female","25"
"Male","18"
"","43"
"Magar",""
"Female","317"
"Male","317"
"","634"
"Maithili",""
"Female","13"
"Male","22"
"","35"
"Mewahang",""
"Female","10"
"Male","14"
"","24"
"Nachhiring",""
"Female","33"
"Male","35"
"","68"
"Nepali",""
"Female","9634"
"Male","8542"
"","18176"
"Newar",""
"Female","599"
"Male","585"
"","1184"
"Not Reported",""
"Female","25"
"Male","16"
"","41"
"Others",""
"Female","459"
"Male","433"
"","892"
"Rai",""
"Female","223"
"Male","184"
"","407"
"Sam",""
"Female","34"
"Male","29"
"","63"
"Sampang",""
"Female","1348"
"Male","1191"
"","2539"
"Sherpa",""
"Female","430"
"Male","333"
"","763"
"Sunuwar",""
"Female","43"
"Male","29"
"","72"
"Tamang",""
"Female","2338"
"Male","2164"
"","4502"
"Tharu",""
"Female","11"
"Male","8"
"","19"
"Thulung",""
"Female","59"
"Male","61"
"","120"
