"Population by disability type","Number"
"Blind/low vision",""
"Female","44"
"Male","51"
"","95"
"Deaf/hard of hearing",""
"Female","29"
"Male","31"
"","60"
"Deaf-Blind",""
"Female","8"
"Male","11"
"","19"
"Intellectual disable",""
"Female","5"
"Male","12"
"","17"
"Mental disable",""
"Female","16"
"Male","23"
"","39"
"Multiple disable",""
"Female","11"
"Male","18"
"","29"
"No disability",""
"Female","16773"
"Male","17672"
"","34445"
"Physical",""
"Female","59"
"Male","129"
"","188"
"Speech problem",""
"Female","19"
"Male","31"
"","50"
