"Population by Educational Attainment","Number"
"Beginners",""
"Female","417"
"Male","465"
"","882"
"Graduate and Equivalent",""
"Female","106"
"Male","403"
"","509"
"Intermediate and Equivalent",""
"Female","533"
"Male","1077"
"","1610"
"Level not Stated",""
"Female","129"
"Male","131"
"","260"
"Lower Secondary (Class 6-8)",""
"Female","2212"
"Male","2813"
"","5025"
"Non Formal Education",""
"Female","205"
"Male","234"
"","439"
"Others",""
"Female","14"
"Male","17"
"","31"
"Post Graduate Equivalent and Above",""
"Female","22"
"Male","126"
"","148"
"Primary Education (1-5 Class)",""
"Female","5098"
"Male","5967"
"","11065"
"Secondary Level (Class 9-10)",""
"Female","1380"
"Male","2063"
"","3443"
"SLC and Equivalent",""
"Female","908"
"Male","1409"
"","2317"
