"Population by disability type","Number"
"Blind/low vision",""
"Female","16"
"Male","19"
"","35"
"Deaf/hard of hearing",""
"Female","33"
"Male","34"
"","67"
"Deaf-Blind",""
"Female","1"
"Male","0"
"","1"
"Intellectual disable",""
"Female","1"
"Male","1"
"","2"
"Mental disable",""
"Female","2"
"Male","1"
"","3"
"Multiple disable",""
"Female","10"
"Male","6"
"","16"
"No disability",""
"Female","2624"
"Male","2646"
"","5270"
"Physical",""
"Female","30"
"Male","61"
"","91"
"Speech problem",""
"Female","12"
"Male","20"
"","32"
