"Population by Caste Ethinicity","Number"
"Amat",""
"Female","8"
"Male","9"
"","17"
"Badhaee",""
"Female","476"
"Male","485"
"","961"
"Badi",""
"Female","16"
"Male","13"
"","29"
"Bangali",""
"Female","19"
"Male","33"
"","52"
"Bantar/Sardar",""
"Female","11"
"Male","12"
"","23"
"Baraee",""
"Female","2499"
"Male","2595"
"","5094"
"Bhote",""
"Female","148"
"Male","132"
"","280"
"Bin",""
"Female","4554"
"Male","4716"
"","9270"
"Bote",""
"Female","205"
"Male","213"
"","418"
"Brahman - Hill",""
"Female","14467"
"Male","13040"
"","27507"
"Brahman - Tarai",""
"Female","6892"
"Male","7541"
"","14433"
"Chamar/ Harijan/ Ram",""
"Female","13575"
"Male","14273"
"","27848"
"Chhetri",""
"Female","14987"
"Male","13600"
"","28587"
"Chidimar",""
"Female","8"
"Male","4"
"","12"
"Dalit Others",""
"Female","182"
"Male","151"
"","333"
"Damai/Dholi",""
"Female","1163"
"Male","1066"
"","2229"
"Danuwar",""
"Female","4301"
"Male","4143"
"","8444"
"Dhankar/ Dharikar",""
"Female","14"
"Male","16"
"","30"
"Dhanuk",""
"Female","6187"
"Male","6390"
"","12577"
"Dhobi",""
"Female","4755"
"Male","5029"
"","9784"
"Dhunia",""
"Female","852"
"Male","874"
"","1726"
"Dom",""
"Female","510"
"Male","523"
"","1033"
"Dusadh/ Pasawan/ Pasi",""
"Female","13725"
"Male","14531"
"","28256"
"Gaderi/Bhedihar",""
"Female","322"
"Male","315"
"","637"
"Gharti/Bhujel",""
"Female","1103"
"Male","986"
"","2089"
"Gurung",""
"Female","202"
"Male","177"
"","379"
"Hajam/Thakur",""
"Female","4847"
"Male","4894"
"","9741"
"Halkhor",""
"Female","105"
"Male","107"
"","212"
"Halwai",""
"Female","1858"
"Male","1874"
"","3732"
"Hayu",""
"Female","74"
"Male","60"
"","134"
"Hyolmo",""
"Female","85"
"Male","86"
"","171"
"Jhangad/ Dhagar",""
"Female","95"
"Male","99"
"","194"
"Kahar",""
"Female","359"
"Male","374"
"","733"
"Kalar",""
"Female","4"
"Male","10"
"","14"
"Kalwar",""
"Female","9692"
"Male","10263"
"","19955"
"Kami",""
"Female","3556"
"Male","3356"
"","6912"
"Kanu",""
"Female","4741"
"Male","5072"
"","9813"
"Kathabaniyan",""
"Female","8302"
"Male","8802"
"","17104"
"Kayastha",""
"Female","1445"
"Male","1509"
"","2954"
"Kewat",""
"Female","2022"
"Male","2154"
"","4176"
"Khatwe",""
"Female","3461"
"Male","3676"
"","7137"
"Koiri/Kushwaha",""
"Female","29926"
"Male","31056"
"","60982"
"Kumal",""
"Female","255"
"Male","247"
"","502"
"Kumhar",""
"Female","5344"
"Male","5719"
"","11063"
"Kurmi",""
"Female","8182"
"Male","8793"
"","16975"
"Limbu",""
"Female","70"
"Male","49"
"","119"
"Lohar",""
"Female","6450"
"Male","6748"
"","13198"
"Magar",""
"Female","7970"
"Male","7281"
"","15251"
"Majhi",""
"Female","2372"
"Male","2272"
"","4644"
"Mali",""
"Female","768"
"Male","777"
"","1545"
"Mallaha",""
"Female","10043"
"Male","10560"
"","20603"
"Marwadi",""
"Female","1078"
"Male","1172"
"","2250"
"Musahar",""
"Female","6839"
"Male","7290"
"","14129"
"Musalman",""
"Female","30329"
"Male","30405"
"","60734"
"Nachhiring",""
"Female","12"
"Male","8"
"","20"
"Natuwa",""
"Female","87"
"Male","106"
"","193"
"Newar",""
"Female","3707"
"Male","3621"
"","7328"
"Nuniya",""
"Female","4390"
"Male","4714"
"","9104"
"Others",""
"Female","687"
"Male","429"
"","1116"
"Pahari",""
"Female","48"
"Male","53"
"","101"
"Pattharkatta/ Kushwadiya",""
"Female","10"
"Male","12"
"","22"
"Punjabi/Sikh",""
"Female","326"
"Male","349"
"","675"
"Rai",""
"Female","746"
"Male","701"
"","1447"
"Rajdhob",""
"Female","60"
"Male","48"
"","108"
"Rajput",""
"Female","2922"
"Male","3184"
"","6106"
"Sanyasi/Dasnami",""
"Female","1661"
"Male","1682"
"","3343"
"Sarbaria",""
"Female","45"
"Male","36"
"","81"
"Sarki",""
"Female","794"
"Male","760"
"","1554"
"Sherpa",""
"Female","9"
"Male","2"
"","11"
"Sonar",""
"Female","4157"
"Male","4400"
"","8557"
"Sudhi",""
"Female","3790"
"Male","3926"
"","7716"
"Sunuwar",""
"Female","274"
"Male","273"
"","547"
"Tamang",""
"Female","20474"
"Male","19251"
"","39725"
"Tatma/Tatwa",""
"Female","4380"
"Male","4568"
"","8948"
"Teli",""
"Female","19859"
"Male","21451"
"","41310"
"Terai Others",""
"Female","797"
"Male","794"
"","1591"
"Thakuri",""
"Female","378"
"Male","347"
"","725"
"Thami",""
"Female","117"
"Male","99"
"","216"
"Tharu",""
"Female","11110"
"Male","10619"
"","21729"
"Undefined Others",""
"Female","346"
"Male","378"
"","724"
"Yadav",""
"Female","57265"
"Male","62043"
"","119308"
