"Industries Employment","Number"
"Accommodation,  food",""
"Female","5791"
"Male","8690"
"Administrative, support service",""
"Female","499"
"Male","1580"
"Agriculture, forestry and  fishing",""
"Female","712"
"Male","929"
"Arts, entertainment, recreation",""
"Female","354"
"Male","1239"
"Construction",""
"Female","369"
"Male","2032"
"Education",""
"Female","9607"
"Male","10248"
"Electricity, gas and water",""
"Female","30"
"Male","543"
"Financial intermediation and insurance",""
"Female","2732"
"Male","3407"
"Health, social work",""
"Female","5082"
"Male","3455"
"Information and communication",""
"Female","1502"
"Male","3757"
"Manufacturing",""
"Female","8121"
"Male","13891"
"Other service activities",""
"Female","4512"
"Male","7115"
"Professional, scientific, techniqual activity",""
"Female","686"
"Male","1967"
"Real estate, renting and business activity",""
"Female","97"
"Male","229"
"Transportation,  storage",""
"Female","298"
"Male","1405"
"Water supply, wet management",""
"Female","101"
"Male","474"
"Wholesale, retail trade",""
"Female","12395"
"Male","20395"
