"Population by Single Year of Age","Number"
"0",""
"Female","160"
"Male","150"
"1",""
"Female","173"
"Male","157"
"10",""
"Female","179"
"Male","179"
"11",""
"Female","184"
"Male","153"
"12",""
"Female","207"
"Male","197"
"13",""
"Female","176"
"Male","165"
"14",""
"Female","217"
"Male","159"
"15",""
"Female","209"
"Male","169"
"16",""
"Female","198"
"Male","153"
"17",""
"Female","189"
"Male","180"
"18",""
"Female","190"
"Male","140"
"19",""
"Female","153"
"Male","103"
"2",""
"Female","182"
"Male","168"
"20",""
"Female","160"
"Male","90"
"21",""
"Female","154"
"Male","91"
"22",""
"Female","172"
"Male","93"
"23",""
"Female","155"
"Male","72"
"24",""
"Female","153"
"Male","78"
"25",""
"Female","169"
"Male","80"
"26",""
"Female","141"
"Male","80"
"27",""
"Female","131"
"Male","78"
"28",""
"Female","132"
"Male","85"
"29",""
"Female","89"
"Male","58"
"3",""
"Female","165"
"Male","156"
"30",""
"Female","137"
"Male","80"
"31",""
"Female","77"
"Male","46"
"32",""
"Female","111"
"Male","68"
"33",""
"Female","81"
"Male","55"
"34",""
"Female","90"
"Male","50"
"35",""
"Female","160"
"Male","82"
"36",""
"Female","84"
"Male","59"
"37",""
"Female","83"
"Male","45"
"38",""
"Female","89"
"Male","59"
"39",""
"Female","82"
"Male","43"
"4",""
"Female","183"
"Male","131"
"40",""
"Female","186"
"Male","80"
"41",""
"Female","85"
"Male","53"
"42",""
"Female","104"
"Male","81"
"43",""
"Female","66"
"Male","50"
"44",""
"Female","63"
"Male","43"
"45",""
"Female","156"
"Male","87"
"46",""
"Female","67"
"Male","53"
"47",""
"Female","62"
"Male","66"
"48",""
"Female","104"
"Male","86"
"49",""
"Female","70"
"Male","69"
"5",""
"Female","172"
"Male","176"
"50",""
"Female","168"
"Male","112"
"51",""
"Female","58"
"Male","47"
"52",""
"Female","79"
"Male","78"
"53",""
"Female","53"
"Male","47"
"54",""
"Female","50"
"Male","50"
"55",""
"Female","99"
"Male","63"
"56",""
"Female","69"
"Male","57"
"57",""
"Female","51"
"Male","59"
"58",""
"Female","67"
"Male","83"
"59",""
"Female","71"
"Male","45"
"6",""
"Female","186"
"Male","168"
"60",""
"Female","136"
"Male","77"
"61",""
"Female","73"
"Male","54"
"62",""
"Female","69"
"Male","77"
"63",""
"Female","56"
"Male","47"
"64",""
"Female","57"
"Male","56"
"65",""
"Female","86"
"Male","69"
"66",""
"Female","44"
"Male","45"
"67",""
"Female","44"
"Male","40"
"68",""
"Female","43"
"Male","49"
"69",""
"Female","31"
"Male","28"
"7",""
"Female","170"
"Male","192"
"70",""
"Female","99"
"Male","70"
"71",""
"Female","35"
"Male","23"
"72",""
"Female","47"
"Male","36"
"73",""
"Female","24"
"Male","35"
"74",""
"Female","23"
"Male","9"
"75",""
"Female","43"
"Male","44"
"76",""
"Female","16"
"Male","25"
"77",""
"Female","21"
"Male","24"
"78",""
"Female","25"
"Male","30"
"79",""
"Female","9"
"Male","15"
"8",""
"Female","160"
"Male","178"
"80",""
"Female","28"
"Male","22"
"81",""
"Female","11"
"Male","9"
"82",""
"Female","15"
"Male","15"
"83",""
"Female","14"
"Male","14"
"84",""
"Female","9"
"Male","4"
"85",""
"Female","31"
"Male","32"
"9",""
"Female","152"
"Male","176"
