"Population by Mother tongue","Number"
"Achhami",""
"Female","47"
"Male","28"
"Assami",""
"Female","83"
"Male","68"
"Avadhi",""
"Female","14549"
"Male","15857"
"Bangla",""
"Female","3"
"Male","9"
"Bhojpuri",""
"Female","596"
"Male","639"
"Bote",""
"Female","7"
"Male","7"
"Dailekhi",""
"Female","6"
"Male","8"
"Darai",""
"Female","22"
"Male","13"
"Doteli",""
"Female","113"
"Male","130"
"Gurung",""
"Female","662"
"Male","513"
"Hindi",""
"Female","877"
"Male","946"
"Magar",""
"Female","1548"
"Male","1319"
"Maithili",""
"Female","872"
"Male","967"
"Nepali",""
"Female","81448"
"Male","67814"
"Newar",""
"Female","460"
"Male","427"
"Not Reported",""
"Female","10"
"Male","17"
"Others",""
"Female","156"
"Male","107"
"Raji",""
"Female","366"
"Male","365"
"Santhali",""
"Female","79"
"Male","89"
"Sherpa",""
"Female","39"
"Male","29"
"Sign Language",""
"Female","19"
"Male","32"
"Sonaha",""
"Female","255"
"Male","248"
"Tamang",""
"Female","298"
"Male","242"
"Tharu",""
"Female","113887"
"Male","107566"
"Urdu",""
"Female","4817"
"Male","4815"
"Yakkha",""
"Female","72"
"Male","65"
