"Population by disability type","Number"
"Blind/low vision",""
"Female","80"
"Male","92"
"","172"
"Deaf/hard of hearing",""
"Female","125"
"Male","117"
"","242"
"Deaf-Blind",""
"Female","12"
"Male","21"
"","33"
"Intellectual disable",""
"Female","35"
"Male","33"
"","68"
"Mental disable",""
"Female","87"
"Male","76"
"","163"
"Multiple disable",""
"Female","91"
"Male","105"
"","196"
"No disability",""
"Female","72222"
"Male","63804"
"","136026"
"Physical",""
"Female","216"
"Male","281"
"","497"
"Speech problem",""
"Female","166"
"Male","142"
"","308"
