"Population by Educational Attainment","Number"
"Beginners",""
"Female","1507"
"Male","1611"
"","3118"
"Graduate and Equivalent",""
"Female","1621"
"Male","2520"
"","4141"
"Intermediate and Equivalent",""
"Female","4641"
"Male","4676"
"","9317"
"Level not Stated",""
"Female","165"
"Male","139"
"","304"
"Lower Secondary (Class 6-8)",""
"Female","10391"
"Male","10023"
"","20414"
"Non Formal Education",""
"Female","2145"
"Male","1692"
"","3837"
"Others",""
"Female","20"
"Male","33"
"","53"
"Post Graduate Equivalent and Above",""
"Female","412"
"Male","907"
"","1319"
"Primary Education (1-5 Class)",""
"Female","14648"
"Male","15185"
"","29833"
"Secondary Level (Class 9-10)",""
"Female","8007"
"Male","7744"
"","15751"
"SLC and Equivalent",""
"Female","9838"
"Male","9456"
"","19294"
