"Population by disability type","Number"
"Blind/low vision",""
"Female","89"
"Male","78"
"","167"
"Deaf/hard of hearing",""
"Female","124"
"Male","111"
"","235"
"Deaf-Blind",""
"Female","6"
"Male","6"
"","12"
"Intellectual disable",""
"Female","7"
"Male","10"
"","17"
"Mental disable",""
"Female","16"
"Male","17"
"","33"
"Multiple disable",""
"Female","53"
"Male","43"
"","96"
"No disability",""
"Female","17496"
"Male","14190"
"","31686"
"Physical",""
"Female","172"
"Male","239"
"","411"
"Speech problem",""
"Female","52"
"Male","50"
"","102"
