"Population by Educational Attainment","Number"
"Beginners",""
"Female","718"
"Male","712"
"","1430"
"Graduate and Equivalent",""
"Female","49"
"Male","184"
"","233"
"Intermediate and Equivalent",""
"Female","276"
"Male","398"
"","674"
"Level not Stated",""
"Female","57"
"Male","59"
"","116"
"Lower Secondary (Class 6-8)",""
"Female","1579"
"Male","1747"
"","3326"
"Non Formal Education",""
"Female","617"
"Male","301"
"","918"
"Others",""
"Female","4"
"Male","5"
"","9"
"Post Graduate Equivalent and Above",""
"Female","7"
"Male","64"
"","71"
"Primary Education (1-5 Class)",""
"Female","4715"
"Male","4940"
"","9655"
"Secondary Level (Class 9-10)",""
"Female","504"
"Male","622"
"","1126"
"SLC and Equivalent",""
"Female","589"
"Male","693"
"","1282"
