"Population by disability type","Number"
"Blind/low vision",""
"Female","150"
"Male","144"
"","294"
"Deaf/hard of hearing",""
"Female","53"
"Male","66"
"","119"
"Deaf-Blind",""
"Female","8"
"Male","14"
"","22"
"Intellectual disable",""
"Female","13"
"Male","23"
"","36"
"Mental disable",""
"Female","69"
"Male","108"
"","177"
"Multiple disable",""
"Female","24"
"Male","44"
"","68"
"No disability",""
"Female","77193"
"Male","83341"
"","160534"
"Physical",""
"Female","328"
"Male","455"
"","783"
"Speech problem",""
"Female","58"
"Male","81"
"","139"
