"Population by disability type","Number"
"Blind/low vision",""
"Female","29"
"Male","26"
"","55"
"Deaf/hard of hearing",""
"Female","33"
"Male","20"
"","53"
"Deaf-Blind",""
"Female","4"
"Male","5"
"","9"
"Intellectual disable",""
"Female","8"
"Male","10"
"","18"
"Mental disable",""
"Female","13"
"Male","18"
"","31"
"Multiple disable",""
"Female","9"
"Male","10"
"","19"
"No disability",""
"Female","12344"
"Male","9311"
"","21655"
"Physical",""
"Female","61"
"Male","73"
"","134"
"Speech problem",""
"Female","36"
"Male","23"
"","59"
