"Population by Educational Attainment","Number"
"Beginners",""
"Female","191"
"Male","227"
"","418"
"Graduate and Equivalent",""
"Female","33"
"Male","97"
"","130"
"Intermediate and Equivalent",""
"Female","234"
"Male","264"
"","498"
"Level not Stated",""
"Female","15"
"Male","11"
"","26"
"Lower Secondary (Class 6-8)",""
"Female","1771"
"Male","1496"
"","3267"
"Non Formal Education",""
"Female","702"
"Male","562"
"","1264"
"Others",""
"Female","4"
"Male","7"
"","11"
"Post Graduate Equivalent and Above",""
"Female","10"
"Male","35"
"","45"
"Primary Education (1-5 Class)",""
"Female","3022"
"Male","2717"
"","5739"
"Secondary Level (Class 9-10)",""
"Female","666"
"Male","623"
"","1289"
"SLC and Equivalent",""
"Female","606"
"Male","681"
"","1287"
