"Population by disability type","Number"
"Blind/low vision",""
"Female","82"
"Male","80"
"","162"
"Deaf/hard of hearing",""
"Female","45"
"Male","65"
"","110"
"Deaf-Blind",""
"Female","9"
"Male","8"
"","17"
"Intellectual disable",""
"Female","3"
"Male","3"
"","6"
"Mental disable",""
"Female","6"
"Male","10"
"","16"
"Multiple disable",""
"Female","22"
"Male","17"
"","39"
"No disability",""
"Female","10603"
"Male","10278"
"","20881"
"Physical",""
"Female","199"
"Male","242"
"","441"
"Speech problem",""
"Female","24"
"Male","37"
"","61"
