"Population by disability type","Number"
"Blind/low vision",""
"Female","112"
"Male","72"
"","184"
"Deaf/hard of hearing",""
"Female","53"
"Male","64"
"","117"
"Deaf-Blind",""
"Female","6"
"Male","6"
"","12"
"Intellectual disable",""
"Female","13"
"Male","12"
"","25"
"Mental disable",""
"Female","3"
"Male","17"
"","20"
"Multiple disable",""
"Female","32"
"Male","26"
"","58"
"No disability",""
"Female","12229"
"Male","10544"
"","22773"
"Physical",""
"Female","223"
"Male","262"
"","485"
"Speech problem",""
"Female","19"
"Male","45"
"","64"
