"Population by Educational Attainment","Number"
"Beginners",""
"Female","333"
"Male","306"
"","639"
"Graduate and Equivalent",""
"Female","22"
"Male","40"
"","62"
"Intermediate and Equivalent",""
"Female","90"
"Male","130"
"","220"
"Level not Stated",""
"Female","43"
"Male","29"
"","72"
"Lower Secondary (Class 6-8)",""
"Female","1747"
"Male","1595"
"","3342"
"Non Formal Education",""
"Female","591"
"Male","391"
"","982"
"Others",""
"Female","8"
"Male","12"
"","20"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","9"
"","10"
"Primary Education (1-5 Class)",""
"Female","4435"
"Male","4273"
"","8708"
"Secondary Level (Class 9-10)",""
"Female","589"
"Male","565"
"","1154"
"SLC and Equivalent",""
"Female","331"
"Male","368"
"","699"
