"Population by disability type","Number"
"Blind/low vision",""
"Female","35"
"Male","28"
"","63"
"Deaf/hard of hearing",""
"Female","47"
"Male","41"
"","88"
"Deaf-Blind",""
"Female","4"
"Male","3"
"","7"
"Intellectual disable",""
"Female","4"
"Male","7"
"","11"
"Mental disable",""
"Female","12"
"Male","25"
"","37"
"Multiple disable",""
"Female","23"
"Male","15"
"","38"
"No disability",""
"Female","14506"
"Male","10876"
"","25382"
"Physical",""
"Female","56"
"Male","91"
"","147"
"Speech problem",""
"Female","43"
"Male","54"
"","97"
