"Population by Single Year of Age","Number"
"0",""
"Female","379"
"Male","355"
"1",""
"Female","281"
"Male","329"
"10",""
"Female","543"
"Male","576"
"11",""
"Female","519"
"Male","466"
"12",""
"Female","562"
"Male","673"
"13",""
"Female","563"
"Male","552"
"14",""
"Female","599"
"Male","555"
"15",""
"Female","596"
"Male","463"
"16",""
"Female","524"
"Male","449"
"17",""
"Female","507"
"Male","453"
"18",""
"Female","611"
"Male","488"
"19",""
"Female","381"
"Male","336"
"2",""
"Female","381"
"Male","365"
"20",""
"Female","483"
"Male","359"
"21",""
"Female","409"
"Male","275"
"22",""
"Female","499"
"Male","329"
"23",""
"Female","350"
"Male","267"
"24",""
"Female","366"
"Male","302"
"25",""
"Female","407"
"Male","339"
"26",""
"Female","359"
"Male","296"
"27",""
"Female","294"
"Male","284"
"28",""
"Female","355"
"Male","343"
"29",""
"Female","234"
"Male","227"
"3",""
"Female","371"
"Male","366"
"30",""
"Female","445"
"Male","322"
"31",""
"Female","208"
"Male","202"
"32",""
"Female","309"
"Male","278"
"33",""
"Female","189"
"Male","195"
"34",""
"Female","206"
"Male","200"
"35",""
"Female","397"
"Male","324"
"36",""
"Female","256"
"Male","219"
"37",""
"Female","188"
"Male","176"
"38",""
"Female","243"
"Male","224"
"39",""
"Female","152"
"Male","140"
"4",""
"Female","380"
"Male","378"
"40",""
"Female","451"
"Male","351"
"41",""
"Female","167"
"Male","163"
"42",""
"Female","276"
"Male","207"
"43",""
"Female","166"
"Male","169"
"44",""
"Female","165"
"Male","161"
"45",""
"Female","334"
"Male","276"
"46",""
"Female","210"
"Male","194"
"47",""
"Female","146"
"Male","129"
"48",""
"Female","200"
"Male","200"
"49",""
"Female","139"
"Male","156"
"5",""
"Female","482"
"Male","464"
"50",""
"Female","337"
"Male","319"
"51",""
"Female","154"
"Male","151"
"52",""
"Female","179"
"Male","223"
"53",""
"Female","135"
"Male","135"
"54",""
"Female","150"
"Male","137"
"55",""
"Female","205"
"Male","229"
"56",""
"Female","127"
"Male","144"
"57",""
"Female","116"
"Male","130"
"58",""
"Female","122"
"Male","128"
"59",""
"Female","111"
"Male","95"
"6",""
"Female","461"
"Male","489"
"60",""
"Female","276"
"Male","223"
"61",""
"Female","87"
"Male","108"
"62",""
"Female","112"
"Male","135"
"63",""
"Female","73"
"Male","86"
"64",""
"Female","73"
"Male","71"
"65",""
"Female","171"
"Male","153"
"66",""
"Female","72"
"Male","84"
"67",""
"Female","105"
"Male","78"
"68",""
"Female","97"
"Male","130"
"69",""
"Female","48"
"Male","67"
"7",""
"Female","502"
"Male","496"
"70",""
"Female","145"
"Male","149"
"71",""
"Female","53"
"Male","64"
"72",""
"Female","71"
"Male","73"
"73",""
"Female","57"
"Male","46"
"74",""
"Female","27"
"Male","52"
"75",""
"Female","88"
"Male","70"
"76",""
"Female","29"
"Male","45"
"77",""
"Female","39"
"Male","48"
"78",""
"Female","74"
"Male","71"
"79",""
"Female","24"
"Male","41"
"8",""
"Female","492"
"Male","541"
"80",""
"Female","64"
"Male","49"
"81",""
"Female","12"
"Male","25"
"82",""
"Female","20"
"Male","24"
"83",""
"Female","17"
"Male","16"
"84",""
"Female","31"
"Male","28"
"85",""
"Female","100"
"Male","93"
"9",""
"Female","486"
"Male","477"
