"Population by Educational Attainment","Number"
"Beginners",""
"Female","607"
"Male","729"
"Graduate and Equivalent",""
"Female","63"
"Male","139"
"Intermediate and Equivalent",""
"Female","221"
"Male","396"
"Level not Stated",""
"Female","46"
"Male","50"
"Lower Secondary (Class 6-8)",""
"Female","2460"
"Male","2612"
"Non Formal Education",""
"Female","1213"
"Male","1148"
"Others",""
"Female","7"
"Male","8"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","47"
"Primary Education (1-5 Class)",""
"Female","5484"
"Male","6736"
"Secondary Level (Class 9-10)",""
"Female","1169"
"Male","1084"
"SLC and Equivalent",""
"Female","649"
"Male","924"
