"Population by Educational Attainment","Number"
"Beginners",""
"Female","530"
"Male","658"
"Graduate and Equivalent",""
"Female","215"
"Male","402"
"Intermediate and Equivalent",""
"Female","835"
"Male","892"
"Level not Stated",""
"Female","27"
"Male","35"
"Lower Secondary (Class 6-8)",""
"Female","3478"
"Male","3121"
"Non Formal Education",""
"Female","1315"
"Male","1373"
"Others",""
"Female","3"
"Male","1"
"Post Graduate Equivalent and Above",""
"Female","19"
"Male","110"
"Primary Education (1-5 Class)",""
"Female","4235"
"Male","4562"
"Secondary Level (Class 9-10)",""
"Female","2957"
"Male","2570"
"SLC and Equivalent",""
"Female","2171"
"Male","1930"
