"Population by Mother tongue","Number"
"Bangla",""
"Female","20"
"Male","20"
"Bantawa",""
"Female","732"
"Male","616"
"Bhojpuri",""
"Female","25"
"Male","22"
"Bhujel",""
"Female","47"
"Male","33"
"Chamling",""
"Female","181"
"Male","172"
"Dhimal",""
"Female","346"
"Male","332"
"Dumi",""
"Female","13"
"Male","8"
"Dungmali",""
"Female","19"
"Male","13"
"Gurung",""
"Female","261"
"Male","214"
"Hindi",""
"Female","42"
"Male","45"
"Khaling",""
"Female","14"
"Male","11"
"Koyee",""
"Female","10"
"Male","7"
"Kulung",""
"Female","30"
"Male","32"
"Kumal",""
"Female","6"
"Male","5"
"Limbu",""
"Female","2091"
"Male","1776"
"Magar",""
"Female","402"
"Male","360"
"Maithili",""
"Female","485"
"Male","525"
"Majhi",""
"Female","65"
"Male","54"
"Meche",""
"Female","39"
"Male","29"
"Nachhiring",""
"Female","13"
"Male","13"
"Nepali",""
"Female","15375"
"Male","12655"
"Newar",""
"Female","329"
"Male","268"
"Not Reported",""
"Female","79"
"Male","80"
"Others",""
"Female","78"
"Male","68"
"Puma",""
"Female","7"
"Male","9"
"Rai",""
"Female","861"
"Male","640"
"Rajbanshi",""
"Female","271"
"Male","239"
"Sampang",""
"Female","73"
"Male","68"
"Santhali",""
"Female","784"
"Male","768"
"Sherpa",""
"Female","4"
"Male","8"
"Sunuwar",""
"Female","60"
"Male","50"
"Tajpuriya",""
"Female","555"
"Male","507"
"Tamang",""
"Female","451"
"Male","375"
"Tharu",""
"Female","118"
"Male","113"
"Thulung",""
"Female","47"
"Male","40"
"Uranw/Urau",""
"Female","86"
"Male","78"
"Urdu",""
"Female","8"
"Male","9"
"Yakkha",""
"Female","34"
"Male","21"
"Yamphu/Yamphe",""
"Female","8"
"Male","13"
