"Population by disability type","Number"
"Blind/low vision",""
"Female","45"
"Male","53"
"","98"
"Deaf/hard of hearing",""
"Female","21"
"Male","16"
"","37"
"Deaf-Blind",""
"Female","6"
"Male","5"
"","11"
"Intellectual disable",""
"Female","0"
"Male","4"
"","4"
"Mental disable",""
"Female","19"
"Male","29"
"","48"
"Multiple disable",""
"Female","3"
"Male","2"
"","5"
"No disability",""
"Female","15626"
"Male","15002"
"","30628"
"Physical",""
"Female","68"
"Male","85"
"","153"
"Speech problem",""
"Female","23"
"Male","19"
"","42"
