"Population by Educational Attainment","Number"
"Beginners",""
"Female","217"
"Male","250"
"","467"
"Graduate and Equivalent",""
"Female","103"
"Male","194"
"","297"
"Intermediate and Equivalent",""
"Female","383"
"Male","390"
"","773"
"Level not Stated",""
"Female","49"
"Male","45"
"","94"
"Lower Secondary (Class 6-8)",""
"Female","2489"
"Male","1881"
"","4370"
"Non Formal Education",""
"Female","772"
"Male","620"
"","1392"
"Others",""
"Female","6"
"Male","3"
"","9"
"Post Graduate Equivalent and Above",""
"Female","9"
"Male","63"
"","72"
"Primary Education (1-5 Class)",""
"Female","3415"
"Male","3071"
"","6486"
"Secondary Level (Class 9-10)",""
"Female","1516"
"Male","1279"
"","2795"
"SLC and Equivalent",""
"Female","715"
"Male","739"
"","1454"
