"Population by disability type","Number"
"Blind/low vision",""
"Female","340"
"Male","323"
"","663"
"Deaf/hard of hearing",""
"Female","374"
"Male","384"
"","758"
"Deaf-Blind",""
"Female","25"
"Male","30"
"","55"
"Intellectual disable",""
"Female","28"
"Male","30"
"","58"
"Mental disable",""
"Female","60"
"Male","65"
"","125"
"Multiple disable",""
"Female","103"
"Male","107"
"","210"
"No disability",""
"Female","79388"
"Male","71126"
"","150514"
"Physical",""
"Female","664"
"Male","853"
"","1517"
"Speech problem",""
"Female","171"
"Male","201"
"","372"
