"Population by disability type","Number"
"Blind/low vision",""
"Female","138"
"Male","105"
"","243"
"Deaf/hard of hearing",""
"Female","97"
"Male","94"
"","191"
"Deaf-Blind",""
"Female","9"
"Male","15"
"","24"
"Intellectual disable",""
"Female","14"
"Male","11"
"","25"
"Mental disable",""
"Female","20"
"Male","28"
"","48"
"Multiple disable",""
"Female","46"
"Male","40"
"","86"
"No disability",""
"Female","20974"
"Male","19173"
"","40147"
"Physical",""
"Female","298"
"Male","343"
"","641"
"Speech problem",""
"Female","63"
"Male","72"
"","135"
