"Population by disability type","Number"
"Blind/low vision",""
"Female","23"
"Male","25"
"","48"
"Deaf/hard of hearing",""
"Female","20"
"Male","19"
"","39"
"Deaf-Blind",""
"Female","0"
"Male","1"
"","1"
"Intellectual disable",""
"Female","3"
"Male","3"
"","6"
"Mental disable",""
"Female","12"
"Male","6"
"","18"
"Multiple disable",""
"Female","10"
"Male","8"
"","18"
"No disability",""
"Female","4730"
"Male","4458"
"","9188"
"Physical",""
"Female","56"
"Male","50"
"","106"
"Speech problem",""
"Female","16"
"Male","13"
"","29"
