"Population by disability type","Number"
"Blind/low vision",""
"Female","4"
"Male","6"
"","10"
"Deaf/hard of hearing",""
"Female","15"
"Male","31"
"","46"
"Deaf-Blind",""
"Female","0"
"Male","0"
"","0"
"Intellectual disable",""
"Female","2"
"Male","1"
"","3"
"Mental disable",""
"Female","7"
"Male","2"
"","9"
"Multiple disable",""
"Female","11"
"Male","13"
"","24"
"No disability",""
"Female","1331"
"Male","1424"
"","2755"
"Physical",""
"Female","14"
"Male","7"
"","21"
"Speech problem",""
"Female","22"
"Male","22"
"","44"
