"Population by Educational Attainment","Number"
"Beginners",""
"Female","222"
"Male","301"
"Graduate and Equivalent",""
"Female","67"
"Male","319"
"Intermediate and Equivalent",""
"Female","226"
"Male","494"
"Level not Stated",""
"Female","9"
"Male","15"
"Lower Secondary (Class 6-8)",""
"Female","927"
"Male","1300"
"Non Formal Education",""
"Female","147"
"Male","104"
"Others",""
"Female","6"
"Male","9"
"Post Graduate Equivalent and Above",""
"Female","8"
"Male","89"
"Primary Education (1-5 Class)",""
"Female","1935"
"Male","2240"
"Secondary Level (Class 9-10)",""
"Female","489"
"Male","909"
"SLC and Equivalent",""
"Female","621"
"Male","862"
