"Population by Mother tongue","Number"
"Bahing",""
"Female","28"
"Male","34"
"Bantawa",""
"Female","12"
"Male","8"
"Chamling",""
"Female","25"
"Male","9"
"Dumi",""
"Female","1056"
"Male","982"
"Gurung",""
"Female","78"
"Male","61"
"Khaling",""
"Female","26"
"Male","17"
"Koche",""
"Female","945"
"Male","986"
"Koyee",""
"Female","54"
"Male","46"
"Kulung",""
"Female","9"
"Male","2"
"Limbu",""
"Female","23"
"Male","16"
"Maithili",""
"Female","129"
"Male","155"
"Nachhiring",""
"Female","122"
"Male","125"
"Nepali",""
"Female","2110"
"Male","1890"
"Newar",""
"Female","75"
"Male","69"
"Not Reported",""
"Female","39"
"Male","42"
"Others",""
"Female","34"
"Male","20"
"Rai",""
"Female","24"
"Male","23"
"Sampang",""
"Female","2548"
"Male","2251"
"Sherpa",""
"Female","129"
"Male","120"
"Sunuwar",""
"Female","14"
"Male","15"
"Tamang",""
"Female","438"
"Male","407"
"Thulung",""
"Female","35"
"Male","32"
"Wambule",""
"Female","12"
"Male","13"
