"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","64"
"Male","93"
"Danuwar",""
"Female","9121"
"Male","7802"
"Doteli",""
"Female","7"
"Male","4"
"Gurung",""
"Female","95"
"Male","94"
"Hayu/Vayu",""
"Female","506"
"Male","471"
"Jero/Jerung",""
"Female","27"
"Male","21"
"Limbu",""
"Female","7"
"Male","7"
"Magar",""
"Female","16682"
"Male","15083"
"Maithili",""
"Female","2234"
"Male","2412"
"Majhi",""
"Female","2488"
"Male","2341"
"Nepali",""
"Female","74026"
"Male","66974"
"Newar",""
"Female","3531"
"Male","3338"
"Not Reported",""
"Female","313"
"Male","251"
"Others",""
"Female","133"
"Male","182"
"Pahari",""
"Female","43"
"Male","40"
"Rai",""
"Female","773"
"Male","727"
"Sherpa",""
"Female","8"
"Male","6"
"Sign Language",""
"Female","49"
"Male","67"
"Sunuwar",""
"Female","2460"
"Male","2235"
"Tamang",""
"Female","40368"
"Male","36501"
"Thami",""
"Female","347"
"Male","304"
"Tharu",""
"Female","25"
"Male","36"
"Urdu",""
"Female","34"
"Male","40"
"Wambule",""
"Female","431"
"Male","372"
