"Population by Educational Attainment","Number"
"Beginners",""
"Female","184"
"Male","263"
"","447"
"Graduate and Equivalent",""
"Female","89"
"Male","444"
"","533"
"Intermediate and Equivalent",""
"Female","378"
"Male","986"
"","1364"
"Level not Stated",""
"Female","142"
"Male","174"
"","316"
"Lower Secondary (Class 6-8)",""
"Female","1594"
"Male","2442"
"","4036"
"Non Formal Education",""
"Female","264"
"Male","403"
"","667"
"Others",""
"Female","6"
"Male","16"
"","22"
"Post Graduate Equivalent and Above",""
"Female","9"
"Male","106"
"","115"
"Primary Education (1-5 Class)",""
"Female","4045"
"Male","4935"
"","8980"
"Secondary Level (Class 9-10)",""
"Female","807"
"Male","1764"
"","2571"
"SLC and Equivalent",""
"Female","665"
"Male","1589"
"","2254"
