"Population by disability type","Number"
"Blind/low vision",""
"Female","58"
"Male","78"
"","136"
"Deaf/hard of hearing",""
"Female","22"
"Male","28"
"","50"
"Deaf-Blind",""
"Female","10"
"Male","11"
"","21"
"Intellectual disable",""
"Female","9"
"Male","10"
"","19"
"Mental disable",""
"Female","26"
"Male","28"
"","54"
"Multiple disable",""
"Female","16"
"Male","32"
"","48"
"No disability",""
"Female","21654"
"Male","20954"
"","42608"
"Physical",""
"Female","93"
"Male","130"
"","223"
"Speech problem",""
"Female","22"
"Male","48"
"","70"
