"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","14"
"Male","11"
"Brahman - Hill",""
"Female","1263"
"Male","1237"
"Chhetri",""
"Female","2932"
"Male","2772"
"Dalit Others",""
"Female","20"
"Male","11"
"Damai/Dholi",""
"Female","193"
"Male","166"
"Danuwar",""
"Female","10"
"Male","8"
"Ghale",""
"Female","9"
"Male","3"
"Gharti/Bhujel",""
"Female","6"
"Male","7"
"Gurung",""
"Female","113"
"Male","108"
"Hajam/Thakur",""
"Female","21"
"Male","21"
"Kami",""
"Female","249"
"Male","225"
"Koiri/Kushwaha",""
"Female","5"
"Male","7"
"Kumhar",""
"Female","5"
"Male","8"
"Limbu",""
"Female","16"
"Male","12"
"Magar",""
"Female","506"
"Male","513"
"Majhi",""
"Female","5"
"Male","7"
"Musalman",""
"Female","7"
"Male","13"
"Newar",""
"Female","2877"
"Male","2813"
"Others",""
"Female","36"
"Male","42"
"Pahari",""
"Female","214"
"Male","167"
"Rai",""
"Female","68"
"Male","69"
"Sanyasi/Dasnami",""
"Female","44"
"Male","49"
"Sarki",""
"Female","176"
"Male","171"
"Sherpa",""
"Female","43"
"Male","37"
"Sunuwar",""
"Female","12"
"Male","11"
"Tamang",""
"Female","3518"
"Male","3330"
"Teli",""
"Female","9"
"Male","5"
"Terai Others",""
"Female","9"
"Male","10"
"Thakuri",""
"Female","30"
"Male","23"
"Tharu",""
"Female","14"
"Male","17"
