"Population by disability type","Number"
"Blind/low vision",""
"Female","27"
"Male","20"
"","47"
"Deaf/hard of hearing",""
"Female","22"
"Male","24"
"","46"
"Deaf-Blind",""
"Female","5"
"Male","2"
"","7"
"Intellectual disable",""
"Female","7"
"Male","4"
"","11"
"Mental disable",""
"Female","10"
"Male","14"
"","24"
"Multiple disable",""
"Female","19"
"Male","20"
"","39"
"No disability",""
"Female","8261"
"Male","6952"
"","15213"
"Physical",""
"Female","63"
"Male","90"
"","153"
"Speech problem",""
"Female","23"
"Male","39"
"","62"
