"Population by disability type","Number"
"Blind/low vision",""
"Female","19"
"Male","24"
"","43"
"Deaf/hard of hearing",""
"Female","11"
"Male","17"
"","28"
"Deaf-Blind",""
"Female","2"
"Male","0"
"","2"
"Intellectual disable",""
"Female","1"
"Male","4"
"","5"
"Mental disable",""
"Female","10"
"Male","14"
"","24"
"Multiple disable",""
"Female","3"
"Male","4"
"","7"
"No disability",""
"Female","14870"
"Male","14315"
"","29185"
"Physical",""
"Female","41"
"Male","75"
"","116"
"Speech problem",""
"Female","15"
"Male","34"
"","49"
